academic_yr,stu_grant_code,student_nbr_hashed,school_nbr_hashed
2018,110,-1166479635,-1702353697
2018,110,1390699299,-1702353697
2018,110,1235962137,-1702353697
2018,110,-11014225,-1702353697
2018,110,829098392,-1702353697
2018,110,1473258395,-1702353697
2018,110,1426412007,-1702353697
2018,110,-927207847,-1702353697
2018,110,1174132657,-1702353697
2018,110,2093191547,-1702353697
2018,110,-22203702,-1702353697
2018,110,-1698316609,-1702353697
2018,110,-1374771011,-1702353697
2018,110,149965189,-1702353697
2018,110,2013800404,-1702353697
2018,110,882855010,-1702353697
2018,110,-927201947,-1702353697
2018,110,-1187675247,-1702353697
2018,110,696375868,-1702353697
2018,110,-661777946,-1702353697
2018,110,878572956,-1702353697
2018,110,-1642961910,-1702353697
2018,110,1692436478,-1702353697
2018,110,14374775,-1702353697
2018,110,2072283969,-1702353697
2018,110,1918841968,-1702353697
2018,110,1862615966,-1702353697
2018,110,895991370,-1702353697
2018,110,-7265738,-1702353697
2018,110,-2030516418,-1702353697
2018,110,-645800188,-1702353697
2018,110,1707203604,-1702353697
2018,110,1229833707,-1702353697
2018,110,1354265894,-1702353697
2018,110,1139293741,-1702353697
2018,110,-1769456462,-1702353697
2018,110,2127859777,-1702353697
2018,110,489363633,-1702353697
2018,110,-262166495,-1702353697
2018,110,892702909,-1702353697
2018,110,-1218438394,-1702353697
2018,110,-1119048285,-1702353697
2018,110,-693817241,-1702353697
2018,110,-1580229863,-1702353697
2018,110,-100254280,-1702353697
2018,110,1645486158,-1702353697
2018,110,-1596160731,-1702353697
2018,110,2114691260,-1702353697
2018,110,-363775177,-1702353697
2018,110,-1228807796,-1702353697
2018,110,264136939,-1702353697
2018,110,-587923467,-1702353697
2018,110,-1967825720,-1702353697
2018,110,-1696769758,-1702353697
2018,110,1347599226,-1702353697
2018,110,539740222,-1702353697
2018,110,-1251824703,-1702353697
2018,110,-1889315829,-1702353697
2018,110,-628649110,-1702353697
2018,110,1299055991,-1702353697
2018,110,1176119900,-1702353697
2018,110,2029296535,-1702353697
2018,110,-1709509666,-1702353697
2018,110,-1558596813,-1702353697
2018,110,-290788960,-1702353697
2018,110,236760373,-1702353697
2018,110,87775364,-1702353697
2018,110,2128002305,-1702353697
2018,110,31699508,-1702353697
2018,110,-83313268,-1702353697
2018,110,1641660277,-1702353697
2018,110,-1498063961,-1702353697
2018,110,-2062326348,-1702353697
2018,110,1790674618,-1702353697
2018,110,-2057249332,-1702353697
2018,110,1802808810,-1702353697
2018,110,-2084229904,-1702353697
2018,110,-819549370,-1702353697
2018,110,1571009864,-1702353697
2018,110,-917493664,-1702353697
2018,110,1181878029,-1702353697
2018,110,-1848288731,-1702353697
2018,110,950817437,-1702353697
2018,110,-928279557,-1702353697
2018,110,-113903736,-1702353697
2018,110,300207811,-1702353697
2018,110,255958736,-1702353697
2018,110,2137222923,-1702353697
2018,110,607832738,-1702353697
2018,110,2061909206,-1702353697
2018,110,-182616178,-1702353697
2018,110,2138002836,-1702353697
2018,110,9686725,-1702353697
2018,110,-126380444,-1702353697
2018,110,-1117084527,2102101182
2018,110,-933985396,2102101182
2018,110,-1982785207,2102101182
2018,110,1099432872,2102101182
2018,110,-1734640932,2102101182
2018,110,-816221874,2102101182
2018,110,568016763,2102101182
2018,110,-676322958,2102101182
2018,110,-179316761,2102101182
2018,110,1342771472,2102101182
2018,110,-1250862147,2102101182
2018,110,-49257718,2102101182
2018,110,1965156123,2102101182
2018,110,2004312755,2102101182
2018,110,-1035046260,2102101182
2018,110,235325342,2102101182
2018,110,-1457418923,2102101182
2018,110,-1212318445,2102101182
2018,110,1527677441,2102101182
2018,110,-2029684907,2102101182
2018,110,-1650886717,2102101182
2018,110,-1035559647,2102101182
2018,110,-1052515424,-1049111902
2018,110,-1237234831,-1049111902
2018,110,320201015,-1049111902
2018,110,-2097566115,-1049111902
2018,110,-1548348422,-1049111902
2018,110,1346960495,-1049111902
2018,110,-2093532106,-1049111902
2018,110,-1410839552,-1049111902
2018,110,-773004689,-1049111902
2018,110,1799008465,-1049111902
2018,110,-1600019309,-1049111902
2018,110,-551043204,-1049111902
2018,110,-377912064,-1049111902
2018,110,-937769545,-1049111902
2018,110,1812060140,-1049111902
2018,110,98022689,-1049111902
2018,110,2129151179,-1049111902
2018,110,1305308417,-1049111902
2018,110,-1488214334,-1049111902
2018,110,-339050114,-1049111902
2018,110,1490739658,-1049111902
2018,110,2018570137,-1049111902
2018,110,1645505568,-1049111902
2018,110,-1687477900,-1049111902
2018,110,249513471,-1049111902
2018,110,1402439853,-1049111902
2018,110,-1311622221,2102101182
2018,110,-467012686,2102101182
2018,110,1880483051,2102101182
2018,110,1508430372,2102101182
2018,110,-360337002,2102101182
2018,110,1231060612,2102101182
2018,110,-28300184,2102101182
2018,110,457611392,2102101182
2018,110,-1904760157,2102101182
2018,110,930682356,2102101182
2018,110,-702191361,2102101182
2018,110,-508089130,2102101182
2018,110,1686083525,-1049111902
2018,110,-307477754,403933605
2018,110,1469433363,403933605
2018,110,1893908178,403933605
2018,110,-1659200052,403933605
2018,110,-1811766158,403933605
2018,110,-1190496758,403933605
2018,110,499840494,403933605
2018,110,562258905,403933605
2018,110,1071811032,403933605
2018,110,2071362185,403933605
2018,110,-2030167491,403933605
2018,110,1201194123,403933605
2018,110,123650848,403933605
2018,110,173048773,403933605
2018,110,1735932809,403933605
2018,110,-172330212,403933605
2018,110,1400880705,403933605
2018,110,1586603839,403933605
2018,110,852070022,403933605
2018,110,-1052526258,403933605
2018,110,1328219530,403933605
2018,110,-1904283820,403933605
2018,110,-1616560828,403933605
2018,110,1814042863,403933605
2018,110,-1075613444,2102101182
2018,110,1454343619,403933605
2018,110,364244478,403933605
2018,110,-92294789,403933605
2018,110,-718509603,403933605
2018,110,83228931,403933605
2018,110,1277506061,403933605
2018,110,-1315885792,403933605
2018,110,-1620664036,403933605
2018,110,-54046287,403933605
2018,110,22011042,403933605
2018,110,-1008640468,403933605
2018,110,-733628515,403933605
2018,110,89135187,403933605
2018,110,-1275251573,403933605
2018,110,-1582737115,403933605
2018,110,2085580170,403933605
2018,110,1618342508,403933605
2018,110,-1570420270,403933605
2018,110,1972957298,403933605
